Continental_region,Country,Sum_of_No_of_Internet_Plans
Africa,Algeria,20
Africa,Angola,20
Africa,Benin,37
Africa,Botswana,30
Africa,Burkina_Faso,31
Africa,Burundi,54
Africa,Cabo_Verde,24
Africa,Cameroon,44
Africa,Central_African_Republic,13
Africa,Chad,15
Africa,Comoros,25
Africa,Congo,8
Africa,Côte_d'Ivoire,29
Africa,Djibouti,7
Africa,Egypt,40
Africa,Equatorial_Guinea,4
Africa,Eswatini,9
Africa,Ethiopia,3
Africa,Gabon,52
Africa,Gambia,31
Africa,Ghana,34
Africa,Guinea,19
Africa,GuineaBissau,9
Africa,Kenya,50
Africa,Lesotho,27
Africa,Liberia,40
Africa,Libya,16
Africa,Madagascar,36
Africa,Malawi,5
Africa,Mali,42
Africa,Mauritania,13
Africa,Mauritius,18
Africa,Mayotte,16
Africa,Morocco,24
Africa,Mozambique,19
Africa,Niger,22
Africa,Nigeria,60
Africa,Réunion,11
Africa,Rwanda,47
Africa,Saint_Helena_Ascension_and_Tristan_da_Cunha,4
Africa,São_Tomé_and_Príncipe,16
Africa,Senegal,35
Africa,Seychelles,21
Africa,Sierra_Leone,21
Africa,Somalia,27
Africa,South_Africa,60
Africa,Sudan,33
Africa,Tanzania,60
Africa,Togo,18
Africa,Tunisia,25
Africa,Uganda,60
Africa,Western_Sahara,25
Africa,Zambia,60
Asia,Afghanistan,35
Asia,Armenia,21
Asia,Azerbaijan,42
Asia,Bahrain,24
Asia,Bangladesh,60
Asia,Bhutan,42
Asia,British_Indian_Ocean_Territory,3
Asia,Brunei,9
Asia,Cambodia,23
Asia,China,36
Asia,Cyprus,22
Asia,East_Timor,15
Asia,Hong_Kong_China,52
Asia,India,58
Asia,Indonesia,53
Asia,Iran,52
Asia,Iraq,33
Asia,Israel,27
Asia,Japan,35
Asia,Jordan,42
Asia,Kazakhstan,19
Asia,Kuwait,42
Asia,Kyrgyzstan,20
Asia,Laos,25
Asia,Lebanon,30
Asia,Macau,19
Asia,Malaysia,60
Asia,Maldives,23
Asia,Mongolia,42
Asia,Myanmar,35
Asia,Nepal,35
Asia,Oman,60
Asia,Pakistan,60
Asia,Palestine,17
Asia,Philippines,30
Asia,Qatar,9
Asia,Russia,22
Asia,Saudi_Arabia,60
Asia,Singapore,35
Asia,South_Korea,18
Asia,Sri_Lanka,60
Asia,Syria,14
Asia,Taiwan,42
Asia,Tajikistan,22
Asia,Thailand,60
Asia,Turkey,60
Asia,Turkmenistan,4
Asia,United_Arab_Emirates,51
Asia,Uzbekistan,60
Asia,Vietnam,46
Asia,Yemen,17
Europe,Åland_Islands,7
Europe,Albania,32
Europe,Andorra,7
Europe,Austria,60
Europe,Belarus,14
Europe,Belgium,37
Europe,Bosnia_and_Herzegovina,24
Europe,Bulgaria,21
Europe,Croatia,26
Europe,Czech_Republic,34
Europe,Denmark,34
Europe,Estonia,34
Europe,Faroe_Islands,11
Europe,Finland,18
Europe,France,45
Europe,Georgia,20
Europe,Germany,60
Europe,Gibraltar,5
Europe,Greece,22
Europe,Guernsey,14
Europe,Hungary,21
Europe,Iceland,20
Europe,Ireland,12
Europe,Isle_of_Man,14
Europe,Italy,29
Europe,Jersey,18
Europe,Latvia,22
Europe,Liechtenstein,17
Europe,Lithuania,23
Europe,Luxembourg,20
Europe,Malta,27
Europe,Moldova,18
Europe,Monaco,3
Europe,Montenegro,21
Europe,North_Macedonia,18
Europe,Norway,21
Europe,Poland,60
Europe,Portugal,21
Europe,Romania,16
Europe,San_Marino,2
Europe,Serbia,38
Europe,Slovakia,45
Europe,Slovenia,28
Europe,Spain,44
Europe,Svalbard_and_Jan_Mayen,13
Europe,Sweden,58
Europe,Switzerland,14
Europe,The_Netherlands,24
Europe,Ukraine,19
Europe,United_Kingdom,60
North_America,Anguilla,13
North_America,Antigua_and_Barbuda,39
North_America,Aruba_(Netherlands),34
North_America,Bahamas,17
North_America,Barbados,11
North_America,Belize,27
North_America,Bermuda,21
North_America,Canada,60
North_America,Cayman_Islands,17
North_America,Costa_Rica,15
North_America,Cuba,9
North_America,Curaçao,17
North_America,Dominica,17
North_America,Dominican_Republic,22
North_America,El_Salvador,25
North_America,Greenland,3
North_America,Grenada,13
North_America,Guadeloupe,9
North_America,Guatemala,24
North_America,Haiti,13
North_America,Honduras,22
North_America,Jamaica,11
North_America,Martinique,18
North_America,Mexico,45
North_America,Montserrat,12
North_America,Nicaragua,30
North_America,North_America_Netherlands,13
North_America,Panama,8
North_America,Puerto_Rico_(U.S.),19
North_America,Saint_Barthélemy_(St._Barts),17
North_America,Saint_Kitts_and_Nevis,16
North_America,Saint_Lucia,14
North_America,Saint_Vincent_and_the_Grenadines,13
North_America,SaintMartin_(France),40
North_America,Sint_Maarten,21
North_America,Trinidad_and_Tobago,12
North_America,Turks_and_Caicos_Islands,15
North_America,U.S._Virgin_Islands,11
North_America,United_States,45
North_America,Virgin_Islands_(British),32
Oceania,American_Samoa,11
Oceania,Australia,46
Oceania,Cocos_(Keeling)_Islands,2
Oceania,Cook_Islands,9
Oceania,Fiji,18
Oceania,French_Polynesia,30
Oceania,Guam,23
Oceania,Kiribati,28
Oceania,Micronesia,7
Oceania,Nauru,1
Oceania,New_Caledonia,14
Oceania,New_Zealand,36
Oceania,Niue,10
Oceania,Northern_Mariana_Islands,18
Oceania,Palau,6
Oceania,Papua_New_Guinea,18
Oceania,Samoa,42
Oceania,Solomon_Islands,22
Oceania,Tokelau,6
Oceania,Tonga,2
Oceania,Tuvalu,9
Oceania,Vanuatu,23
South_America,Argentina,28
South_America,Bolivia,48
South_America,Brazil,58
South_America,Chile,59
South_America,Colombia,60
South_America,Ecuador,19
South_America,Falkland_Islands,4
South_America,French_Guiana,9
South_America,Guyana,17
South_America,Paraguay,27
South_America,Peru,49
South_America,Suriname,12
South_America,Uruguay,35